context,domain,team_id,metric,r,ci_lower,ci_upper,p_value,n_seconds,silence_pct,source_file
submarine_experienced,submarine,E2S1-Transcript,entropy,0.9639805782522368,0.9620124244288542,0.9658485360592466,0.0,5233,27.097267341868907,E2S1-Transcript.xlsx
submarine_experienced,submarine,E2S1-Transcript,pct_det,0.855317370885018,0.8478716159990161,0.8624258329701917,0.0,5233,27.097267341868907,E2S1-Transcript.xlsx
submarine_experienced,submarine,E2S1-Transcript,rmse,0.5957800393722258,0.5779758618267684,0.613017305171403,0.0,5210,27.097267341868907,E2S1-Transcript.xlsx
submarine_experienced,submarine,E2S2-Transcript,entropy,0.9383786846782304,0.9352125068819614,0.9413948165627304,0.0,5743,27.929653491206686,E2S2-Transcript.xlsx
submarine_experienced,submarine,E2S2-Transcript,pct_det,0.8365906087796323,0.8286567425024429,0.8441884077363025,0.0,5743,27.929653491206686,E2S2-Transcript.xlsx
submarine_experienced,submarine,E2S2-Transcript,rmse,0.4916789950366755,0.47177456960988756,0.5110825457847838,0.0,5720,27.929653491206686,E2S2-Transcript.xlsx
submarine_experienced,submarine,E3S2-Transcript,entropy,0.9429271463913775,0.939538716561392,0.9461309528007236,0.0,4355,30.21814006888634,E3S2-Transcript.xlsx
submarine_experienced,submarine,E3S2-Transcript,pct_det,0.9030717914753906,0.8974420408175863,0.908407423881038,0.0,4355,30.21814006888634,E3S2-Transcript.xlsx
submarine_experienced,submarine,E3S2-Transcript,rmse,0.3850405955295566,0.3593813761528682,0.41011804091882226,3.557110372890543e-157,4332,30.21814006888634,E3S2-Transcript.xlsx
submarine_experienced,submarine,E4S2-Transcript,entropy,0.9754080271900163,0.9739078554773947,0.9768229590603007,0.0,4275,43.78947368421053,E4S2-Transcript.xlsx
submarine_experienced,submarine,E4S2-Transcript,pct_det,0.8819389225795076,0.8750974229788879,0.8884279790126595,0.0,4275,43.78947368421053,E4S2-Transcript.xlsx
submarine_experienced,submarine,E4S2-Transcript,rmse,0.6342009163014403,0.6158827918740406,0.6518336937104571,0.0,4252,43.78947368421053,E4S2-Transcript.xlsx
submarine_less_experienced,submarine,T4S2-Transcript,entropy,0.9083816974252176,0.9033220451005417,0.9131886297736393,0.0,4832,40.521523178807946,T4S2-Transcript.xlsx
submarine_less_experienced,submarine,T4S2-Transcript,pct_det,0.9083859224255719,0.9033264916082699,0.9131926431844628,0.0,4832,40.521523178807946,T4S2-Transcript.xlsx
submarine_less_experienced,submarine,T4S2-Transcript,rmse,0.5395013862672597,0.5191533561921307,0.5592381746020043,0.0,4809,40.521523178807946,T4S2-Transcript.xlsx
submarine_less_experienced,submarine,T4S3-Transcript,entropy,0.8940338314218829,0.8884958873332346,0.8993113935421386,0.0,5298,39.12797281993205,T4S3-Transcript.xlsx
submarine_less_experienced,submarine,T4S3-Transcript,pct_det,0.8466615459701238,0.8388584907315941,0.854116725401747,0.0,5298,39.12797281993205,T4S3-Transcript.xlsx
