domain,metric,r,ci_lower,ci_upper,p_value,n_seconds,team_count,mean_silence_pct
submarine,entropy,0.9319737559659417,0.9305565786779786,0.9333630102654725,0.0,33705,7,36.312382298222566
submarine,pct_det,0.8269980298024971,0.8235936009263619,0.8303428698346285,0.0,33705,7,36.312382298222566
submarine,rmse,0.5205493275753897,0.5127038293723122,0.5283078997630678,0.0,33543,7,36.312382298222566
surgical,entropy,0.8879373307467023,0.8847408839340088,0.8910502557462909,0.0,17284,8,25.946162996047896
surgical,pct_det,0.7540962572855511,0.7475925618606546,0.7604553444204102,0.0,17284,8,25.946162996047896
surgical,rmse,0.5285280483380167,0.5176402773963349,0.5392446736615216,0.0,17100,8,25.946162996047896
