second,entropy,pct_det,rmse,edge_window
0,1.2604408810349512,95.39554249326476,,True
1,1.2475562489182659,95.45126353790614,,True
2,1.2343888840832413,95.50614947965941,,True
3,1.2210477851797181,95.56020455602045,0.5392129295853065,True
4,1.2076197058875997,94.86056695091035,0.524786444331369,True
5,1.1941737342569119,95.27073337902674,0.5244134747606098,True
6,1.1807648521704317,95.28985507246377,0.5216952222851863,True
7,1.1674367232867007,95.3096947935368,0.5389345883865952,True
8,1.1542238918616845,95.3302201467645,0.551839112259302,True
9,1.1411535278793057,94.53624146287729,0.5321531919755572,True
10,1.1546947117521669,93.04291287386216,0.21662516188536424,True
11,1.1657840518150733,94.45628997867804,0.1829545939465741,True
12,1.1747579731719544,94.52485840151039,0.15744827829987612,True
13,1.181899057917561,94.59236326109391,0.13937390186205817,True
14,1.187446408042471,94.65881397238017,0.20023682607223833,True
15,1.1785873721511557,94.7242206235012,0.28485509015478516,True
16,1.1696355299995802,94.78859390363814,0.3141213758612178,True
17,1.1606225598887527,94.85194503580414,0.3375823117265944,True
18,1.1515754324925283,94.85194503580414,0.356133702370836,True
19,1.1425171113097468,94.83359133126935,0.370455642229887,True
20,1.1334671399860883,94.83558994197293,0.3812797453170759,True
21,1.141619525334138,94.83858496037116,0.3890426991879395,True
22,1.1484747421966306,94.84257291867877,0.39404284355393737,True
23,1.154173392945927,94.84754920879969,0.39648297272103783,True
24,1.1588385157364058,94.85350809560525,0.39094012508874937,True
25,1.1625782147358088,94.86044273339749,0.38237956734762646,True
26,1.1654878213698068,94.86834518546992,0.3783009918022605,True
27,1.167651684484335,94.87720644666155,0.37748099508319044,True
28,1.1622344738341004,94.8870164687859,0.4218699443862346,True
29,1.1566766519448637,94.89776418880183,0.43216428092248155,True
30,1.150999540671385,94.90943755958055,0.4412008874434153,True
31,1.1412418450836315,94.92202358311145,0.4737507244294799,True
32,1.0652996405533381,94.93550834597876,0.47779482857528033,True
33,0.9559312637896478,94.9498770569321,0.4799808469690752,True
34,0.9432261548473415,94.18386491557223,0.46108248988762696,True
35,0.9288391461883214,93.90198279087168,0.41763820552195147,True
36,0.9127341558073343,94.16371433898937,0.5086090597676305,True
37,0.8948692308065574,94.18323731648393,0.49614459041443637,True
38,0.875195788740725,94.20370370370371,0.48543899222460407,True
39,0.8536576732793313,94.22509225092251,0.47708680953855426,True
40,0.8301899714180443,94.24738099614042,0.4705786946325095,True
41,0.804717519321077,94.27054731832327,0.4646179247407743,True
42,0.7771529943226336,94.29456799125046,0.46175668077174176,True
43,0.7771529943226336,94.31941923774954,0.4625882464985921,True
44,0.7473944462440387,94.34507678410118,0.46754138553219554,True
45,0.7153220528038851,94.37151591440389,0.4755482036460407,True
46,0.7153220528038851,94.39871152469577,0.48593717984711016,True
47,0.7153220528038851,94.42663817663818,0.49886356034306767,True
48,0.7153220528038851,93.72569812654648,0.4776523671204274,True
49,0.7153220528038851,94.17646027012805,0.48934844406448874,True
50,0.7153220528038851,94.20365535248042,0.5044385970206738,True
51,0.7153220528038851,93.73051610668514,0.49664467087834674,True
52,0.7153220528038851,94.1764300482426,0.5162335517826202,True
53,0.7153220528038851,94.20736932305056,0.5381790061320952,True
54,0.7153220528038851,94.23896369524459,0.5619048500167819,True
55,0.7153220528038851,94.27118644067797,0.5869038466583684,True
56,0.7153220528038851,92.96339628948688,0.524303733308263,True
57,0.7153220528038851,94.18163837151805,0.5539768723325456,True
58,0.7153220528038851,94.24577373211963,0.5841975237733538,True
59,0.830774222099454,94.30907342096826,0.6125496266370117,True
60,0.9129467467841513,94.37154150197628,0.6395697388429812,True
61,0.9440231356865454,94.43318259784812,0.6648694032377651,True
62,0.9727642516015449,94.49400184558597,0.6871416827893279,True
63,0.9992889743797903,94.55400485436893,0.7070548927875707,True
64,1.0236982481827188,94.61319766571899,0.7244223545605598,True
65,1.090864890696142,94.67158671586716,0.7399240449285552,True
66,1.1494318918359776,94.72917880023296,0.7538953579764469,True
67,1.201446120023029,94.78598103993106,0.7637959654861014,True
68,1.2481068205144499,94.84200085021963,0.7717607160968436,True
69,1.2902007807553537,94.89724591080666,0.7778560229877423,True
70,1.3282820174272938,94.95172413793104,0.7821424229266541,True
71,1.3425003133763334,95.00544365813828,0.7846750199092434,True
72,1.3525074295964727,95.05841278367127,0.7729639760328046,True
73,1.3525074295964727,95.11063998939976,0.7674763624811357,True
74,1.3525074295964727,95.16213389121339,0.7596321334067966,True
75,1.3584547364298434,95.21290322580646,0.7536788522869778,True
76,1.3857772327036844,95.26295683178404,0.7393102161324896,True
77,1.410469497157276,95.31230363202212,0.7236344467383791,True
78,1.4326648482653093,95.36095261721657,0.7066180703057925,True
79,1.4524737111892643,95.40891283055828,0.6896956150009873,True
80,1.4699878894344567,95.45619335347432,0.6720901057615515,True
81,1.4852837267582453,95.50280329237744,0.6538294945949212,True
82,1.477322818602089,95.54875176636834,0.6360324169520524,True
83,1.4660741214574513,95.59404789583817,0.6178890996425328,True
84,1.4514270347987224,95.63870079192012,0.5994453693176968,True
85,1.4332278865247239,95.6827195467422,0.5716453616663774,True
86,1.411268792775777,95.726113224435,0.5839626459172906,True
87,1.3852702053381705,95.7688908528502,0.5586042488384833,True
88,1.3548527368476762,95.81106141594852,0.5330024614342536,True
89,1.360034097940745,95.85263384681676,0.5071558457989581,True
90,1.3634806730596907,95.8936170212766,0.48106062625639145,True
91,1.3652016755898781,95.93401975204875,0.45471009104414684,True
92,1.3652016755898781,95.60301507537689,0.45034110950659556,True
93,1.3634806730596907,95.89026807134661,0.433187050574763,True
94,1.360034097940745,95.90564273095708,0.4151973977533373,True
95,1.3548527368476762,94.74440566618765,0.4615534866517737,True
96,1.347922583568817,95.83248833907929,0.5413982261112931,True
97,1.3392246071829446,95.87298407292397,0.5889695137482299,True
98,1.3287344279695676,95.91291439881248,0.6290118098770439,True
99,1.3164218868227548,95.95228783730934,0.7704417662535515,True
100,1.3022504881911108,95.99111282843894,0.7963759151875377,True
101,1.2861766890619075,96.02939772835735,0.8161712107134322,True
102,1.2681489963097885,96.06715080637555,0.8485381876513824,True
103,1.2481068205144499,96.10438024231128,0.8648678032289465,True
104,1.2259790140555222,96.1410941241481,0.8782033613214945,True
105,1.2259790140555222,95.83295089490592,0.8946958688957742,True
106,1.2259790140555222,94.7478229317852,0.8843417687127763,True
107,1.2259790140555222,95.77729962345347,0.8983067534224987,True
108,1.2259790140555222,95.81745680106336,0.9099610519363055,True
109,1.2259790140555222,95.85705526845932,0.9773387374882333,True
110,1.2449737775841292,95.8961038961039,0.9860201871829843,True
111,1.258887499344383,95.93461143444026,0.9918798751751909,True
112,1.2680160454788014,95.9725865132414,0.9953744918407477,True
113,1.2725381154419293,96.01003764115433,0.9969266205511315,True
114,1.272538115441929,95.7,0.9980963396729785,True
115,1.2680160454788014,94.70215044904012,0.9675382884283411,True
116,1.2588874993443833,94.4348682590495,0.9200433965794875,True
117,1.2588874993443833,94.60343417825021,0.8847332797224859,True
118,1.2588874993443833,94.60824238475321,0.8507925196177014,True
119,1.2588874993443833,93.61307989690722,0.7184055520288064,True
120,1.2952336017523502,94.5679012345679,0.6829800634543554,True
121,1.3283399146847865,94.61205198897204,0.6533110069728024,True
122,1.3324661355215683,94.35325532081991,0.6057745299424099,True
123,1.3324661355215683,94.56623864704041,0.5789887873559505,True
124,1.3324661355215683,94.57539806431471,0.557579324122293,True
125,1.3324661355215683,94.58492180813818,0.5418254272298455,True
126,1.3604279187829045,94.59480418766964,0.5277554327085519,True
127,1.3857772327036844,94.60503941876642,0.5175309884415273,True
128,1.408648411160687,94.61562162994916,0.5114382890931217,True
129,1.408648411160687,93.6295054484493,0.3869025106878694,True
130,1.4326648482653093,94.54956652845834,0.3826558619501265,True
131,1.4541644890966259,94.59278042959427,0.4074807382592094,True
132,1.473256553252489,94.63547815820543,0.40412740856784846,True
133,1.4900315255825651,94.67766664233044,0.4049472872109345,True
134,1.485283726758245,94.71935274145778,0.41630461172825406,True
135,1.477322818602089,94.76054324517513,0.4294599067483096,True
136,1.4891489665409592,94.80124487197624,0.443249723952563,True
137,1.498941259446481,94.84146426821586,0.45687698741074,True
138,1.60181848962823,94.88120800720371,0.45982743643626517,True
139,1.671063985680677,94.92048258842884,0.4838412322084814,True
140,1.7270581231328372,94.95929443690638,0.483082239651566,True
141,1.7741059170584728,94.99764990263883,0.48016428301649705,True
142,1.8142315605441048,95.03555526018475,0.4776902361143373,True
143,1.8486092736278148,95.07301670832786,0.5343799915944777,True
144,1.8779981249264126,95.11004036983982,0.5526235492066475,True
