meeting_id,quality_label,entropy_mean,entropy_sd,entropy_min,entropy_max,pct_det_mean,pct_det_sd,pct_det_min,pct_det_max,rmse_mean,rmse_sd,rmse_min,rmse_max,rmse_coverage_pct
2024.10.14startup_a,include,0.9564272572354452,0.4334237423908456,-0.0,1.9809522452294839,97.98163026340383,1.2794357517087325,93.57785467128028,99.87771406831708,0.3150159968394372,0.1897051777139868,2.842170943040401e-14,1.036552235071224,99.58075100255195
2024.10.14startup_b,include_with_caution,1.1790960676200863,0.566012019071685,-0.0,1.9978467171869154,94.47594567686542,3.5920651820008014,83.14518930184092,99.99778516057586,0.5369774132990783,0.3523673644589929,0.0,2.2287339526905856,99.61952026468155
2024.10.25startup_a,include,0.9312750484843139,0.5111072122092558,-0.0,1.9587451631519053,97.51232694710262,1.8668361880392272,90.5062082139446,99.90826289233995,0.33042874797568655,0.20887982739513739,0.0020548317655919007,1.1888084166052895,99.5625713198935
2024.10.28startup_b,include,0.9947884238658863,0.47912943213980036,-0.0,1.9429743960441401,97.65869769088877,1.6426208023178215,91.15885875308207,99.92093611638204,0.3280491094000453,0.23023023353998612,0.009152835500771428,1.8671005896938362,99.57580228697897
2024.11.04startup_a,include,0.7909434844215936,0.4630285375071176,-0.0,1.9673799723810663,98.18618247871521,0.8447573764046371,95.18649391440911,99.87921894920485,0.28019072926156013,0.200035804238241,0.0,1.0647275969125045,99.5625713198935
2024.11.04startup_b,include,1.0673652950226364,0.439549874896092,-0.0,1.9426568839623357,97.5073057485631,1.626827724744362,91.59981123171308,99.97461069735951,0.328247612174908,0.2026425479451966,1.4210854715202004e-14,1.0712160503601305,99.54635108481263
2024.11.11startup_a,include,0.9414582384330407,0.4501100710052923,-0.0,1.9554169551936995,98.12399506507676,1.3822842894840779,93.26160199978263,99.89479512735326,0.2880439283402085,0.1888700649076296,0.0027285136731362136,1.0848583771308298,99.56273764258555
2024.11.11startup_b,include,1.078108542243818,0.5465406287519794,-0.0,1.999424603097586,96.15815022089055,2.575154873791616,88.73229461756374,99.92954911433172,0.45040517942469316,0.2992195793374868,1.4210854715202004e-14,2.160329271632574,99.58618207988485
2024.11.18startup_a,include,0.7052013138706764,0.4611408069228357,-0.0,1.9158582303981526,98.54208655563481,1.273874532108503,90.12131715771231,99.96963042564127,0.24561544964081658,0.18751952980908893,0.0,1.2256443216444812,99.57241122885294
2024.11.18startup_b,include,0.9921624318756507,0.5183606509406365,-0.0,1.9978467171869154,97.48720875434861,1.786204725853724,91.65258533288274,99.89411093915452,0.3306049242666904,0.21926106944922127,0.0,1.3025028072638565,99.5692077168009
2024.12.02startup_b,include_with_caution,1.3990532737190366,0.4320317566050931,-0.0,1.999424603097586,93.24430036336534,2.562132694347903,84.73506785374708,98.41911764705883,0.5829008945340542,0.2995539260050008,0.04795041868861642,1.7441149983887212,99.57572403615569
2024.12.09startup_a,include,0.9577826724135255,0.491954323790315,-0.0,1.9978467171869152,97.63333602102645,1.4118574849979477,91.96922337100264,99.90259407361837,0.3179472511272293,0.19928030625269938,0.0,1.4071148510440772,99.57328385899814
2024.12.13startup_a,include,0.847059345229801,0.4612947621379231,-0.0,1.57983878814754,97.44095370270539,2.170419913173961,84.75859247135843,99.97584190945548,0.3468881587643458,0.24647757865344866,0.0,2.406310175491517,99.55820207452939
