method,meeting_id,metric_x,metric_y,r,p_value,n
per_meeting,2025.01.13startup_a,pct_det,rmse,-0.1082024201283328,1.4957358161065258e-15,5396
per_meeting,2025.01.13startup_b,entropy,pct_det,-0.441791722085801,1.17849018727904e-278,5655
per_meeting,2025.01.13startup_b,entropy,rmse,0.19258336964829365,1.7658684967909723e-48,5632
per_meeting,2025.01.13startup_b,pct_det,rmse,-0.444975461246112,3.778794110510625e-282,5632
per_meeting,2025.02.10startup_b,entropy,pct_det,-0.4520742708574199,2.133490851913348e-281,5414
per_meeting,2025.02.10startup_b,entropy,rmse,0.3669944841013572,1.1963591821200642e-175,5391
per_meeting,2025.02.10startup_b,pct_det,rmse,-0.49610556083462176,0.0,5391
per_meeting,2025.02.24startup_a,entropy,pct_det,-0.43785063443722866,5.642145258706828e-248,5133
per_meeting,2025.02.24startup_a,entropy,rmse,0.16387198449644383,3.174348437550522e-32,5110
per_meeting,2025.02.24startup_a,pct_det,rmse,-0.3981770226039451,2.620982838270934e-199,5110
per_meeting,2025.02.24startup_b,entropy,pct_det,-0.26070768601570754,2.5630324743066203e-81,5125
per_meeting,2025.02.24startup_b,entropy,rmse,0.054181899741458435,0.00010760318509102232,5102
per_meeting,2025.02.24startup_b,pct_det,rmse,-0.40361909093498904,4.189276012421201e-205,5102
per_meeting,2025.03.02startup_a,entropy,pct_det,-0.4735766512711797,1.0190530741540075e-304,5259
per_meeting,2025.03.02startup_a,entropy,rmse,0.21960746917679286,1.148036310859473e-58,5236
per_meeting,2025.03.02startup_a,pct_det,rmse,-0.5219327071344682,0.0,5236
per_meeting,2025.03.17startup_a,entropy,pct_det,-0.19900616736044635,1.542531936740198e-48,5272
per_meeting,2025.03.17startup_a,entropy,rmse,0.07271515637898762,1.320209539577828e-07,5249
per_meeting,2025.03.17startup_a,pct_det,rmse,-0.4002259074867196,5.0229984603815404e-207,5249
per_meeting,2025.03.17startup_b,entropy,pct_det,-0.5618138156289114,0.0,6354
per_meeting,2025.03.17startup_b,entropy,rmse,0.3750009025169466,7.003318387630596e-216,6331
per_meeting,2025.03.17startup_b,pct_det,rmse,-0.5321207637927365,0.0,6331
per_meeting,2025.03.24startup_b,entropy,pct_det,-0.4436166015650836,1.5409244108291013e-262,5275
per_meeting,2025.03.24startup_b,entropy,rmse,0.1404662465665434,1.2525441811950421e-24,5252
per_meeting,2025.03.24startup_b,pct_det,rmse,-0.4181070257176675,1.909729880763919e-228,5252
per_meeting,2025.03.25startup_a,entropy,pct_det,-0.4045568602202406,1.0892970119236055e-206,5115
per_meeting,2025.03.25startup_a,entropy,rmse,0.10924302070581152,5.10411834497947e-15,5092
per_meeting,2025.03.25startup_a,pct_det,rmse,-0.405894548520379,2.7252582140198804e-207,5092
