meeting_id,onset_second,offset_second,peak_second,peak_rmse,alpha_level,ucl,temporal_position,combined_delta,combined_delta_v2,pre_entropy,post_entropy,delta_entropy,z_delta_entropy,pre_pct_det,post_pct_det,delta_pct_det,z_delta_pct_det,pre_rmse,post_rmse,delta_rmse,z_delta_rmse,peak_entropy,entropy_ucl,entropy_lcl,entropy_exceeds_ucl,entropy_below_lcl,entropy_outside_limits,entropy_excess_over_ucl,entropy_excess_z,peak_pct_det,pct_det_ucl,pct_det_lcl,pct_det_exceeds_ucl,pct_det_below_lcl,pct_det_outside_limits,pct_det_excess_over_ucl,pct_det_excess_z,rmse_excess_over_ucl,rmse_excess_z,auxiliary_ucl_corroboration,joint_corroborated
2024.10.14startup_a,179,224,192,0.2377691646669787,0.05,1.6478777276057046,0.034998177178271965,0.3499517384750528,0.4750315643475898,1.6101018633971316,1.9030314245876945,0.2929295611905629,0.6886262202347858,98.10106334057402,98.11516325513841,0.014099914564397409,0.011277256715319805,0.316552519604935,0.17875377188477146,0.13779874772016357,0.7251912160926637,1.980952245229484,1.6478777276057046,0.24824367738491748,True,False,True,0.3330745176237795,0.7829999990290398,98.37153952148316,100.10397216800796,95.99012770600321,False,False,False,-1.7324326465247992,0.0,-0.38461190410649826,0.0,0,False
2024.10.14startup_a,1510,1519,1515,0.2110168695314743,0.05,1.6478777276057046,0.2761574917973022,0.3583316653267029,0.2414360025048937,1.341571645758783,1.5583263607008329,0.2167547149420499,0.5095524653160917,97.21591826912167,97.47486825849697,0.2589499893752958,0.20711086533731415,0.2351183931559494,0.2365710126511012,0.0014526194951517968,0.007644676861275269,1.690234376245165,1.6478777276057046,0.24824367738491748,True,False,True,0.042356648639460426,0.09957308076336338,97.3861866020426,100.10397216800796,95.99012770600321,False,False,False,-2.7177855659653574,0.0,-0.4113641992420027,0.0,0,False
2024.10.14startup_a,2169,2175,2169,0.2493057295439473,0.05,1.6478777276057046,0.3953700328107911,0.46138668042890263,0.3313621188295372,1.0956279089718743,1.4716925667482323,0.376064657776358,0.8840623076615752,99.56131517737437,99.60971547157209,0.04840029419771952,0.03871105319623002,0.16782000716361872,0.18137069734854086,0.013550690184922137,0.07131299563080633,1.6724333972231755,1.6478777276057046,0.24824367738491748,True,False,True,0.02455566961747091,0.05772608911605445,99.59482729513456,100.10397216800796,95.99012770600321,False,False,False,-0.5091448728733923,0.0,-0.3730753392295297,0.0,0,False
2024.10.14startup_a,3243,3280,3271,0.4394521536553857,0.05,1.6478777276057046,0.5962449872402479,0.48253850436415674,1.2040234050523797,1.709444053143874,1.5895391360106368,0.11990491713323714,0.2818755114281938,96.61817262473983,95.76396818607401,0.8542044386658176,0.6832014973001197,0.7616502124633919,0.25867618164851086,0.5029740308148811,2.6469932064288253,1.9124457035653704,1.6478777276057046,0.24824367738491748,True,False,True,0.26456797595966575,0.6219530884482878,96.10647596344856,100.10397216800796,95.99012770600321,False,False,False,-3.997496204559397,0.0,-0.18292891511809128,0.0,0,False
2024.10.14startup_a,4443,4463,4453,0.2824862955259511,0.05,1.6478777276057046,0.8117025154939846,0.23241672895297838,0.17674104198585175,1.453095333519019,1.5666257335917317,0.11353040007271264,0.2668901355194937,97.35301240505574,97.60050024759555,0.2474878425398117,0.19794332238646303,0.30666789641870623,0.2942427398925465,0.01242515652615972,0.06538966805159852,1.736339181998297,1.6478777276057046,0.24824367738491748,True,False,True,0.08846145439259234,0.20795742405531337,97.38778331934226,100.10397216800796,95.99012770600321,False,False,False,-2.716188848665695,0.0,-0.33989477324752587,0.0,0,False
2024.10.14startup_a,5230,5248,5240,0.833180494997918,0.05,1.6478777276057046,0.955158585490339,0.6331457914573153,1.1347084884148633,1.4520384438343577,1.5881400173060112,0.13610157347165353,0.3199510207398323,94.92242913621186,96.10563542585516,1.1832062896432944,0.9463405621747983,0.45928706696065025,0.86551210841394,0.40622504145328975,2.1378338823299594,1.7283412475895337,1.6478777276057046,0.24824367738491748,True,False,True,0.08046351998382906,0.1891556775903689,95.15700671770036,100.10397216800796,95.99012770600321,False,True,True,-4.9469654503076015,0.0,0.21079942622444103,1.1093706930180562,1,True
2024.10.25startup_a,1042,1088,1078,0.1808351020050803,0.05,1.773717805244465,0.20502092050209206,0.3290802730931915,0.3981264740476062,1.8690387516671756,1.545415870549181,0.32362288111799464,0.6311276959554699,98.83997490260357,98.8866694488246,0.046694546221033306,0.027032850230913025,0.2931434577396407,0.18455861243590263,0.10858484530373805,0.5362188759564356,1.9131516004274849,1.773717805244465,0.08654174645851032,True,False,True,0.1394337951830198,0.2719230778373199,98.367161809729,100.45667025148093,94.77321108695496,False,False,False,-2.0895084417519314,0.0,-0.48108847191316934,0.0,0,False
2024.10.25startup_a,2340,2347,2343,0.5371347711986251,0.05,1.773717805244465,0.4456066945606695,0.2883785289146148,0.6096879581387246,1.5521549092076852,1.4154085749790777,0.1367463342286075,0.26668200515955054,96.2943512474954,95.75875053372691,0.5356007137684884,0.310075052669679,0.28699000036735983,0.540583351980289,0.2535933516129291,1.2523068165869442,1.801263060910678,1.773717805244465,0.08654174645851032,True,False,True,0.027545255666212798,0.05371861743231538,96.32104620248616,100.45667025148093,94.77321108695496,False,False,False,-4.135624048994771,0.0,-0.12478880271962456,0.0,0,False
2024.10.25startup_a,2472,2487,2475,0.5030674991934717,0.05,1.773717805244465,0.4707112970711297,0.38391451717996355,0.7408681450516599,1.650897608375152,1.7774678336344498,0.12657022525929773,0.24683660923017367,95.61799425237321,96.51791803651825,0.8999237841450451,0.5209924251297534,0.633296265620388,0.33870282825723164,0.29459343736315635,1.4547754007950526,1.8847324924850224,1.773717805244465,0.08654174645851032,True,False,True,0.1110146872405573,0.21650027814258335,96.31655725747628,100.45667025148093,94.77321108695496,False,False,False,-4.140112994004653,0.0,-0.15885607472477792,0.0,0,False
2024.10.25startup_a,2528,2594,2554,0.1049109671022969,0.05,1.773717805244465,0.48573602130087484,0.04219511316910282,0.034402993703013855,1.8269629742122857,1.8469552101950406,0.019992235982754902,0.03898875688024567,96.86356664075213,96.94198978133844,0.07842314058630961,0.04540146945795998,0.21426424025648452,0.2104534240632735,0.003810816193211025,0.018818754770835902,1.948738046931766,1.773717805244465,0.08654174645851032,True,False,True,0.17502024168730101,0.3413235847232984,96.96949646000132,100.45667025148093,94.77321108695496,False,False,False,-3.4871737914796057,0.0,-0.5570126068159528,0.0,0,False
