second,edge_window,entropy,pct_det,rmse,entropy_smoothed,entropy_shift,entropy_shift_z,pct_det_smoothed,pct_det_shift,pct_det_shift_z,rmse_smoothed,rmse_shift,rmse_shift_z,valid_metric_count,composite_score,threshold,is_candidate,rank_within_meeting
0,True,0.7706290693639405,97.007299270073,,0.7277330119980144,,,97.14405440863663,,,0.340960093499958,,,0,,2.272763042184392,False,
1,True,0.7578784625383954,97.046818727491,,0.7219280948873623,,,97.16328413284133,,,0.34416229916793206,,,0,,2.272763042184392,False,
2,True,0.7455178428108284,97.0859985785359,,0.7163024743717427,,,97.18232466027732,,,0.3473645048359061,,,0,,2.272763042184392,False,
3,True,0.7335379291086666,97.12482468443196,0.3157624579221626,0.710676853856123,,,97.20136518771332,,,0.3492170375068474,,,0,,2.272763042184392,False,
4,True,0.7219280948873623,97.16328413284133,0.3317888999714288,0.705224537814715,,,97.22021121338528,,,0.3510695701777888,,,0,,2.272763042184392,False,
5,True,0.710676853856123,97.20136518771332,0.340960093499958,0.6997722217733069,,,97.20136518771332,,,0.3519551573259881,,,0,,2.272763042184392,False,
6,True,0.6997722217733069,97.23905723905725,0.3473645048359061,0.6944871034453362,,,97.18232466027732,,,0.3528407444741874,,,0,,2.272763042184392,False,
7,True,0.6892019851173655,97.27635075287866,0.3510695701777888,0.6892019851173655,,,97.16328413284133,,,0.3834003782536089,,,0,,2.272763042184392,False,
8,True,0.6789538995185758,97.3132372214941,0.3528407444741874,0.6789538995185758,,,97.16328413284133,,,0.3528407444741874,,,0,,2.272763042184392,False,
9,True,0.6690158350565576,97.349709114415,0.4519920403933698,0.6690158350565576,,,97.16328413284133,,,0.3519551573259881,,,0,,2.272763042184392,False,
10,True,0.6593758812786992,97.38575982996812,0.4481077575476148,0.6593758812786992,,,97.16328413284133,,,0.3510695701777888,,,0,,2.272763042184392,False,
11,True,0.6500224216483541,97.42138364779876,0.4427659419927616,0.6500224216483541,,,97.16328413284133,,,0.3510695701777888,,,0,,2.272763042184392,False,
12,True,0.6409441847875287,96.9962453066333,0.4357454585370749,0.6409441847875287,,,97.0740817597012,,,0.3510695701777888,,,0,,2.272763042184392,False,
13,True,0.6321302781219706,97.0740817597012,0.4304862611755224,0.6321302781219706,,,97.0740817597012,,,0.3510695701777888,,,0,,2.272763042184392,False,
14,True,0.6235702082127974,97.06914344685242,0.4139600120330304,0.6235702082127974,,,97.0740817597012,,,0.3510695701777888,,,0,,2.272763042184392,False,
15,True,0.6152538910563409,95.88678476888616,0.2928902519083265,0.6152538910563409,,,97.0740817597012,,,0.3446980434624657,,,0,,2.272763042184392,False,
16,True,0.6071716548713029,96.9465648854962,0.292516887593317,0.6071716548713029,,,97.0740817597012,,,0.3446980434624657,,,0,,2.272763042184392,False,
17,True,0.5993142373098092,96.98771304003172,0.293930385640348,0.5993142373098092,,,97.0740817597012,,,0.3446980434624657,,,0,,2.272763042184392,False,
18,True,0.5916727785823275,97.02834799608992,0.3028370163666565,0.5916727785823275,,,97.0740817597012,,,0.3446980434624657,,,0,,2.272763042184392,False,
19,True,0.584238811642856,97.06846673095468,0.3127323652305872,0.584238811642856,,,97.0740817597012,,,0.3446980434624657,,,0,,2.272763042184392,False,
20,True,0.5770042503157248,97.10806697108067,0.3231957575852421,0.5770042503157248,,,97.10806697108067,,,0.3446980434624657,,,0,,2.272763042184392,False,
21,True,0.5699613760403499,97.14714714714717,0.3339235724886797,0.5699613760403499,,,97.14714714714717,,,0.3446980434624657,,,0,,2.272763042184392,False,
22,True,0.5631028237513912,97.1857063506758,0.3446980434624657,0.5665095065529053,,,97.14714714714717,,,0.3348912751153866,,,0,,2.272763042184392,False,
23,True,0.5564215672884281,97.22374429223744,0.355363534426361,0.5665095065529053,,,97.14714714714717,,,0.3446980434624657,,,0,,2.272763042184392,False,
24,True,0.5499109046334101,97.26126126126128,0.3658090861212903,0.5665095065529053,,,97.1750462418026,,,0.3536718773419534,,,0,,2.272763042184392,False,
25,True,0.5435644431995964,97.29825808745112,0.3759558046445094,0.5631028237513912,,,97.1857063506758,,,0.355363534426361,,,0,,2.272763042184392,False,
26,True,0.5373760853377336,97.334736103805,0.385747827079989,0.560576942614533,,,97.21300597213006,,,0.3658090861212903,,,0,,2.272763042184392,False,
27,True,0.531340014180167,97.30108657553453,0.3970457400365366,0.560576942614533,,,97.22374429223744,,,0.3678659902064126,,,0,,2.272763042184392,False,
28,True,0.5254506799086206,97.28546409807356,0.4091935322592668,0.560576942614533,,,97.25040916530278,,,0.3759558046445094,,,0,,2.272763042184392,False,
29,True,0.5665095065529053,95.97442985487216,0.3348912751153866,0.560576942614533,,,97.26126126126128,,,0.3814137717269133,,,0,,2.272763042184392,False,
30,True,0.603652249754401,97.13652633373104,0.3536718773419534,0.560576942614533,,,97.28546409807356,,,0.385747827079989,,,0,,2.272763042184392,False,
31,True,0.603652249754401,97.1750462418026,0.3678659902064126,0.560576942614533,,,97.2872598094623,,,0.394245517970672,,,0,,2.272763042184392,False,
32,True,0.560576942614533,97.21300597213006,0.3814137717269133,0.560576942614533,,,97.29825808745112,,,0.3970457400365366,,,0,,2.272763042184392,False,
33,True,0.560576942614533,97.25040916530278,0.394245517970672,0.560576942614533,,,97.30108657553453,,,0.4063029380666192,,,0,,2.272763042184392,False,
34,True,0.560576942614533,97.2872598094623,0.4063029380666192,0.560576942614533,,,97.30108657553453,,,0.4091935322592668,,,0,,2.272763042184392,False,
35,True,0.560576942614533,97.3235622112474,0.4175361118718954,0.560576942614533,,,97.3235622112474,,,0.4175361118718954,,,0,,2.272763042184392,False,
36,True,0.560576942614533,97.35932096824898,0.4279011434471469,0.560576942614533,,,97.35932096824898,,,0.4279011434471469,,,0,,2.272763042184392,False,
37,True,0.560576942614533,97.39454094292805,0.4373583166587637,0.560576942614533,,,97.39454094292805,,,0.4373583166587637,,,0,,2.272763042184392,False,
38,True,0.560576942614533,97.4292272379495,0.4457428440059538,0.560576942614533,,,97.4292272379495,,,0.4457428440059538,,,0,,2.272763042184392,False,
39,True,0.5140912790181235,97.46338517288238,0.4529314903875749,0.5140912790181235,,,97.46338517288238,,,0.4529314903875749,,,0,,2.272763042184392,False,
40,True,0.4637773498877516,97.49702026221692,0.4566009080416538,0.4637773498877516,,,97.49702026221692,,,0.4529314903875749,,,0,,2.272763042184392,False,
41,True,0.4090731390438265,97.53013819464864,0.4586952089699379,0.4090731390438265,,,97.53013819464864,,,0.4529314903875749,,,0,,2.272763042184392,False,
42,True,0.4090731390438265,97.562744813579,0.459171324047442,0.4090731390438265,,,97.562744813579,,,0.4529314903875749,,,0,,2.272763042184392,False,
43,True,0.4090731390438265,97.59484609878312,0.4587134934501164,0.4090731390438265,,,97.59484609878312,,,0.4529314903875749,,,0,,2.272763042184392,False,
