meeting_id,quality_label,n_inflection_points,mean_peak_rmse,mean_combined_delta,mean_temporal_position,ucl,meeting_duration_seconds
2024.10.14startup_a,include,22,0.7962475142195529,0.6877175846607297,0.5229178404533855,0.622381068773477,5486
2024.10.14startup_b,include_with_caution,17,1.5251638433787307,0.5220808912600428,0.4265168101980246,1.1272950038495186,6045
2024.10.25startup_a,include,17,0.8664613376546294,0.6710464415792036,0.6536258474481462,0.6619235739182496,5258
2024.10.28startup_b,include,17,1.025740484993598,0.6261277081525838,0.4800486037277324,0.7104349878598394,5422
2024.11.04startup_a,include,20,0.8048442672016407,1.0458825087308745,0.5831875237732979,0.6058451939497518,5258
2024.11.04startup_b,include,16,0.8209806304626442,0.5868590206297324,0.5108481262327416,0.6647822197483404,5070
2024.11.11startup_a,include,17,0.7996148215427216,0.6900323758254728,0.6244240662044286,0.5926885275266295,5260
2024.11.11startup_b,include,16,1.312893714536811,0.6257877529792133,0.3228117128463476,0.9536251879439583,5558
2024.11.18startup_a,include,19,0.7182207897814015,0.7589466959468334,0.4884394477549143,0.5281385352704644,5379
2024.11.18startup_b,include,19,0.8518361943396108,0.646127713211447,0.4805650575211208,0.6629454746748313,5339
2024.12.02startup_b,include_with_caution,18,1.3850585407090434,0.6151733280050009,0.504048043616389,1.0739802162069252,5421
2024.12.09startup_a,include,17,0.8625598949857931,0.6522183543907681,0.5001309614754993,0.6501125397729464,5390
2024.12.13startup_a,include,15,1.0389414665648922,0.7889908314503692,0.6004353950569855,0.7501800575054263,5206
2024.12.16startup_b,include,16,1.1254145677522374,0.7252024347817375,0.5266015329295988,0.8227056253653748,5284
2024.12.23startup_a,include,19,0.845996411312011,0.7572628091797111,0.5085485666985288,0.6368461727412325,5341
2024.12.23startup_b,include,16,0.8463817920569963,0.7882143838281257,0.4518323657474601,0.673486600120353,5512
2025.01.06startup_a,include,18,0.9978440321351678,0.6604744151003064,0.5331183426170234,0.7524835787554951,5685
2025.01.06startup_b,include,17,0.8992491741204751,0.6906513396978535,0.46439098984899246,0.6422868023343379,5847
2025.01.13startup_a,include,16,0.8124543496600413,1.0210964983441557,0.5351771544565418,0.5781001759318839,5419
2025.01.13startup_b,include,19,0.7411306887737974,0.853829097877423,0.5081576620596584,0.5430113351623125,5655
2025.02.10startup_b,include,12,0.9563943776485752,0.7691784725878801,0.4995690185937692,0.632756296222857,5414
2025.02.24startup_a,include,20,0.6339610761089909,0.6982311326033613,0.44783752191700754,0.49289514355279923,5133
2025.02.24startup_b,include,16,0.7471605153368035,0.8727840162132863,0.45213414634146337,0.5335369871963437,5125
2025.03.02startup_a,include,15,0.6819306509400935,0.680394254399588,0.4641566837801863,0.46345938615539417,5259
2025.03.17startup_a,include,17,0.6898263829466241,0.6961107130643756,0.5364188163884673,0.5226198554275051,5272
2025.03.17startup_b,include_with_caution,16,1.0172651041736782,0.5360407878954727,0.6861622599937047,0.7358327864359394,6354
2025.03.24startup_b,include,18,0.877335298261301,0.665793544329736,0.500695102685624,0.7003233189614314,5275
2025.03.25startup_a,include_with_caution,18,0.7313757125776281,0.7579916162625877,0.5248397958075377,0.5504825180093537,5115
2025.03.31startup_a,include_with_caution,18,0.7324203832129729,0.7103653412542907,0.5132280291211648,0.55704119574594,5128
2025.03.31startup_b,include_with_caution,19,0.6665256613434776,0.6586658320561724,0.5510092017904388,0.4936341497200312,6326
2025.04.07startup_a,include,17,0.818021155501218,0.6702066833756564,0.4506895628637432,0.6114069747001494,5933
2025.04.07startup_b,include_with_caution,19,0.9887722271584792,0.7585221851096513,0.572314636661065,0.7701422269986902,6483
2025.04.14startup_a,include_with_caution,19,0.7870563052483185,0.772631380243698,0.558714859437751,0.6024254087473643,6225
2025.04.14startup_b,include,20,0.777509849173248,0.7265212859508136,0.5170698924731182,0.6188116434469997,5208
