meeting_id,quality_label,meeting_duration_seconds,valid_rmse_seconds,valid_entropy_seconds,valid_pct_det_seconds,rmse_ucl,rmse_lcl,rmse_mean,rmse_sd,entropy_ucl,entropy_lcl,entropy_mean,entropy_sd,pct_det_ucl,pct_det_lcl,pct_det_mean,pct_det_sd,t_crit
2024.10.14startup_a,include,5486,5186,5186,5186,0.622381068773477,-0.002831340197906873,0.30977486428778506,0.19001712191527134,1.6478777276057046,0.24824367738491748,0.948060702495311,0.425382526228364,100.10397216800796,95.99012770600321,98.04704993700558,1.2502964967750634,1.6451475600450525
2024.10.14startup_b,include_with_caution,6045,5745,5745,5745,1.1272950038495186,-0.018213788661932573,0.554540607593793,0.3481537892472924,2.099368264012286,0.3546547668332012,1.2270115154227437,0.530269709988037,100.0184248644288,88.45276702295257,94.23559594369068,3.5151433397726226,1.6451189501456212
2024.10.25startup_a,include,5258,4958,4958,4958,0.6619235739182496,-0.004369873108713562,0.32877685040476806,0.20250097520356572,1.773717805244465,0.08654174645851032,0.9301297758514877,0.512769259203653,100.45667025148093,94.77321108695496,97.61494066921794,1.7273260430243658,1.6451610822050768
2024.10.28startup_b,include,5422,5122,5122,5122,0.7104349878598394,-0.05436109005342782,0.3280369489032058,0.23243944448177686,1.776800254765599,0.1831393900195396,0.9799698223925692,0.48435087050215136,100.43493191569166,94.89429129773023,97.66461160671095,1.6839304809538735,1.6451512341598864
2024.11.04startup_a,include,5258,4958,4958,4958,0.6058451939497518,-0.047215268036797875,0.27931496295647695,0.19847918512369195,1.5589082730299877,0.04983331113236111,0.8043707920811745,0.45864048761564175,99.59203461477995,96.78205992954551,98.18704727216273,0.8540120221747874,1.6451610822050768
2024.11.04startup_b,include,5070,4770,4770,4770,0.6647822197483404,-0.004128120582475137,0.33032704958293263,0.20329480761039928,1.7718691226689578,0.3394994248484835,1.0556842737587206,0.4353248927223443,100.24280680304,94.82148274593604,97.53214477448802,1.647645378956934,1.645173204848244
2024.11.11startup_a,include,5260,4960,4960,4960,0.5926885275266295,-0.02686665107895303,0.2829109382238382,0.1882962197479745,1.6799914086725884,0.1934172453120261,0.9367043269923072,0.45180204282337283,100.3593955387863,96.07766733512516,98.21853143695573,1.3013098148130229,1.6451609581828768
2024.11.11startup_b,include,5558,5258,5258,5258,0.9536251879439583,-0.04844943533402707,0.4525878763049656,0.3045553785435263,1.9384144628627937,0.16325872764967098,1.0508365952562324,0.5395139387354463,100.52590128145582,91.91446134827967,96.22018131486774,2.617230581165758,1.6451435336164508
2024.11.18startup_a,include,5379,5079,5079,5079,0.5281385352704644,-0.06142132390377958,0.23335860568334238,0.17918077793000023,1.403626217801714,-0.06097708946776803,0.6713245641669731,0.4451265734457617,100.18801423321499,97.33107889275301,98.759546562984,0.8682882472980425,1.64515375473078
2024.11.18startup_b,include,5339,5039,5039,5039,0.6629454746748313,-0.02758295196884647,0.31768126135299246,0.2098671398594387,1.832093104814534,0.11529757368327265,0.9736953392489033,0.5217728248976243,100.46038288835788,94.79240189073968,97.62639238954878,1.722627070589214,1.645156138083762
2024.12.02startup_b,include_with_caution,5421,5121,5121,5121,1.0739802162069252,0.09721974864609068,0.5855999824265079,0.29686037756355255,2.1016574953203615,0.744366583164929,1.4230120392426453,0.41251249003988316,97.40940775067591,88.89632900009772,93.15286837538682,2.5873239714909886,1.6451512922968767
2024.12.09startup_a,include,5390,5090,5090,5090,0.6501125397729464,-0.008446774205585317,0.32083288278368055,0.20015137546330244,1.7501898274462235,0.17238027393567035,0.9612850506909469,0.4795327401057318,99.80505725249773,95.53310349238947,97.6690803724436,1.298345346960147,1.6451531058783004
2024.12.13startup_a,include,5206,4906,4906,4906,0.7501800575054263,-0.06120006886219859,0.3444899943216138,0.24659546329539803,1.5872543274675084,0.0781059790097085,0.8326801532386084,0.458661882483452,100.03527171974142,95.36632828002826,97.70079999988484,1.4189899816383,1.64516434228895
2024.12.16startup_b,include,5284,4984,4984,4984,0.8227056253653748,0.012765873580539766,0.4177357494729573,0.2461584310736172,1.8332005327553733,0.3828339726002902,1.1080172526778318,0.4407981657186999,100.12076970024198,92.67757261206164,96.39917115615181,2.262150627081363,1.6451594776833196
2024.12.23startup_a,include,5341,5041,5041,5041,0.6368461727412325,-0.05007413527212834,0.29338601873455206,0.2087705665877065,1.5934902061186866,0.10664208069234049,0.8500661434055136,0.45188666276713146,100.440658536343,95.95242496273883,98.19654174954091,1.3640753595555153,1.6451560180174607
2024.12.23startup_b,include,5512,5212,5212,5212,0.673486600120353,-0.00644130887074118,0.33352264562480594,0.20664666554337896,1.6283324431453692,0.1125981068419436,0.8704652749936564,0.4606686125172898,99.94477159862747,95.08326664502552,97.5140191218265,1.4775298600040558,1.6451460932195996
2025.01.06startup_a,include,5685,5385,5385,5385,0.7524835787554951,-0.015207412292403077,0.368638083231546,0.2333213385398241,1.7047416493936316,0.21288680537854787,0.9588142273860897,0.45341364321286154,99.58031768046055,93.9674844338067,96.77390105713363,1.7058865889809505,1.6451366939952345
