meeting_id,second,composite_score,threshold,rank_within_meeting,valid_metric_count,entropy_shift,pct_det_shift,rmse_shift,entropy_shift_z,pct_det_shift_z,rmse_shift_z,top_contributors
2024.10.14startup_a,1561,2.645228640911016,1.9749576644041948,1,3,-0.6984787253041403,-0.9743336370652997,0.44171423610248745,-1.865030533387812,-3.1574091400102318,2.9132462493350046,pct_det:decrease; rmse:increase; entropy:decrease
2024.10.14startup_a,2959,2.5903228932741587,1.9749576644041948,2,3,0.3810121948907952,1.1534386314608582,-0.457264013300241,1.0173529290459387,3.7378137620135647,-3.0158019887629726,pct_det:increase; rmse:decrease; entropy:increase
2024.10.14startup_a,3089,2.5348763100563363,1.9749576644041948,3,3,-0.4703900808736412,-0.7311569612011084,0.6033446422490025,-1.2560037001128441,-2.369374908406007,3.9792503216501576,rmse:increase; pct_det:decrease; entropy:decrease
2024.10.14startup_a,3238,2.455217455249216,1.9749576644041948,4,3,0.337748545142466,-0.8412475501126693,0.5667180837342728,0.901833264891106,-2.7261326127848156,3.7376864880717258,rmse:increase; pct_det:decrease; entropy:increase
2024.10.14startup_a,5266,2.4266611496266934,1.9749576644041948,5,3,-0.13886810896712998,1.2576657610564723,-0.42964060484011224,-0.3707962088963399,4.075570439093335,-2.8336168008904057,pct_det:increase; rmse:decrease; entropy:decrease
2024.10.14startup_a,164,2.3727143975265865,1.9749576644041948,6,3,0.6322196525142876,0.8323301756887957,-0.41435419043489896,1.6881100497850619,2.697235119729318,-2.732798023065379,rmse:decrease; pct_det:increase; entropy:increase
2024.10.14startup_a,1128,2.328847212605766,1.9749576644041948,7,3,0.0884716651238231,1.1785374505461448,-0.44443067417707033,0.23623104157359165,3.8191485715373745,-2.9311620247063317,pct_det:increase; rmse:decrease; entropy:increase
2024.10.14startup_a,794,2.1576611383221365,1.9749576644041948,8,3,-0.4644251902889662,-0.4794160312890483,0.5578682877825142,-1.2400766537108334,-1.5535874996769958,3.6793192615785797,rmse:increase; pct_det:decrease; entropy:decrease
2024.10.14startup_a,4602,2.1474946841819427,1.9749576644041948,9,3,-0.3604644247739608,1.116024533752011,0.28253768258412043,-0.9624876664794331,3.616570268432697,1.8634261176336984,pct_det:increase; rmse:increase; entropy:decrease
2024.10.14startup_a,1447,1.9989095040254548,1.9749576644041948,10,3,-0.09215232084001279,-0.7529304005322643,0.501982714624428,-0.24605887890763947,-2.4399335484224993,3.310736084746225,rmse:increase; pct_det:decrease; entropy:decrease
2024.10.14startup_b,3081,3.7261957300857915,2.0752914476334223,1,3,-0.38926587902678933,3.309118208348494,-1.3525550297578672,-1.4654103536769714,3.903648183504526,-5.809528653075876,rmse:decrease; pct_det:increase; entropy:decrease
2024.10.14startup_b,2633,3.362601219877497,2.0752914476334223,2,3,-0.6815414736248127,-2.8012064245540103,-0.9819332873612693,-2.5656960594825926,-3.3044828508223176,-4.21762474932758,rmse:decrease; pct_det:decrease; entropy:decrease
2024.10.14startup_b,2781,2.8383042319272165,2.0752914476334223,3,3,-0.04618835254031595,-3.422349456531265,-1.0019989667224578,-0.17387830189761624,-4.037223029869783,-4.3038113640142495,rmse:decrease; pct_det:decrease; entropy:decrease
2024.10.14startup_b,594,2.64147839439079,2.0752914476334223,4,3,-0.25804301586711564,-2.3497059386203745,-0.9734427042924764,-0.9714154965009885,-2.7718639049896536,-4.181155781681729,rmse:decrease; pct_det:decrease; entropy:decrease
2024.10.14startup_b,1339,2.4468254117340447,2.0752914476334223,5,3,0.7446985422834383,1.1262688110423227,-0.7469697376810447,2.8034539193587933,1.3286189617739246,-3.208403354069416,rmse:decrease; entropy:increase; pct_det:increase
2024.10.14startup_b,374,2.174930314020141,2.0752914476334223,6,3,-0.8103309419738974,-0.7689490821710621,0.5976773668565161,-3.0505302834200907,-0.9071016805176697,2.567158978122661,entropy:decrease; rmse:increase; pct_det:decrease
2024.10.14startup_b,3420,2.089268205271002,2.0752914476334223,7,3,-0.5260997282889395,-0.6788406987667059,0.8117088720785117,-1.9805280412162618,-0.8008040492310269,3.486472525365718,rmse:increase; entropy:decrease; pct_det:decrease
2024.10.25startup_a,4267,3.0391210356425695,2.0302049350455063,1,3,0.8724825118094568,-0.9436368756637563,0.7394943074959892,2.295254724656392,-2.039485383550439,4.782622998720878,rmse:increase; entropy:increase; pct_det:decrease
2024.10.25startup_a,4913,2.4848371181441014,2.0302049350455063,2,3,0.33393223781983794,1.0078691224989456,0.6799800900932556,0.8784812717695522,2.178310743126204,4.397719339536549,rmse:increase; pct_det:increase; entropy:increase
2024.10.25startup_a,4657,2.4516172104188425,2.0302049350455063,3,3,0.48655036197178275,-1.0666484733038004,-0.5828479287290922,1.2799763914842832,-2.305350741151675,-3.769524498620569,rmse:decrease; pct_det:decrease; entropy:increase
2024.10.25startup_a,1112,2.2893528335812783,2.0302049350455063,4,3,-1.2435220045115425,-0.43669622748974746,0.410189743937459,-3.2713546889896166,-0.9438329467471078,2.652870865007111,entropy:decrease; rmse:increase; pct_det:decrease
2024.10.25startup_a,3550,2.145806185027332,2.0302049350455063,5,3,-0.8994339270708821,-0.6081993577902125,0.4262530500280757,-2.3661562755501393,-1.3145032082657775,2.7567590712660794,rmse:increase; entropy:decrease; pct_det:decrease
2024.10.25startup_a,3089,2.0812089269425846,2.0302049350455063,6,3,0.4107018750550746,-1.1261899392194152,0.421983859174814,1.0804404746066358,-2.434037900992314,2.729148405228804,rmse:increase; pct_det:decrease; entropy:increase
2024.10.25startup_a,5005,2.053297725528042,2.0302049350455063,7,3,0.6249084498466055,-1.321531926140736,-0.2566253131789148,1.643957388914826,-2.856231159219427,-1.6597046284498718,pct_det:decrease; rmse:decrease; entropy:increase
2024.10.28startup_b,4615,4.720582210985506,2.352556798720389,1,3,-0.47349624728809125,-1.8821831384484256,-1.0220551676345577,-1.3198616262724272,-5.451571538008898,-7.390313468675194,rmse:decrease; pct_det:decrease; entropy:decrease
2024.10.28startup_b,4915,3.589057998009585,2.352556798720389,2,3,-0.19315212023520456,1.6615351710935187,-0.7490532516832642,-0.538407797298748,4.812484855007839,-5.416281341722168,rmse:decrease; pct_det:increase; entropy:decrease
2024.10.28startup_b,3778,3.105650958832387,2.352556798720389,3,3,0.37663592345749086,-1.2243544918403302,-0.6528783767548539,1.0498653480241087,-3.5462309505398784,-4.720856577933174,rmse:decrease; pct_det:decrease; entropy:increase
2024.10.28startup_b,1984,3.0783606151379312,2.352556798720389,4,3,0.19533764593214475,-1.234789468721985,-0.7072663400139907,0.5444999078849352,-3.576454907925186,-5.114127029603672,rmse:decrease; pct_det:decrease; entropy:increase
2024.10.28startup_b,4081,3.044072737458715,2.352556798720389,5,3,0.22982308712651606,1.2118022445662717,-0.6889543861925453,0.640627407856084,3.509874512858837,-4.981716291661223,rmse:decrease; pct_det:increase; entropy:increase
2024.10.28startup_b,2285,2.9999361793097585,2.352556798720389,6,3,-0.08093649041000939,1.3975160592237614,-0.6536480589319782,-0.22560890074455384,4.0477776135297034,-4.726422023655018,rmse:decrease; pct_det:increase; entropy:decrease
2024.10.28startup_b,2486,2.500696048297168,2.352556798720389,7,3,0.5301696423705833,1.2266741566468653,-0.34177248971340907,1.4778376183280648,3.552949647769019,-2.47130087879442,pct_det:increase; rmse:decrease; entropy:increase
2024.10.28startup_b,1889,2.4853600725600424,2.352556798720389,8,3,0.4655613805966512,0.9090505294982592,-0.48754459017139035,1.2977433389246356,2.632981824133169,-3.525355054622323,rmse:decrease; pct_det:increase; entropy:increase
2024.11.04startup_a,3834,2.8284239779424207,2.0674270415853075,1,3,0.27555228331547477,1.1174222389170154,-0.6078925193260745,0.6842489953367396,3.73109217850319,-4.069930759987332,rmse:decrease; pct_det:increase; entropy:increase
2024.11.04startup_a,259,2.794602967561621,2.0674270415853075,2,3,0.6293563427108473,-0.5789538640601393,0.7300599447747638,1.562812109655699,-1.933136963519307,4.887859829509857,rmse:increase; pct_det:decrease; entropy:increase
2024.11.04startup_a,4663,2.4465627211911536,2.0674270415853075,3,3,0.13977790850438032,-1.0306399684352385,-0.5304241059702652,0.34709526741570546,-3.4413246767026893,-3.551268219455066,rmse:decrease; pct_det:decrease; entropy:increase
2024.11.04startup_a,2464,2.4221150967116896,2.0674270415853075,4,3,0.9053302346610875,-0.8192221857583633,-0.34096931023938,2.2481080398292415,-2.7353970444526943,-2.2828402058531343,pct_det:decrease; rmse:decrease; entropy:increase
2024.11.04startup_a,3987,2.363579911101396,2.0674270415853075,5,3,-1.1752895831621866,-0.5140881580968255,-0.3667912268031932,-2.918468708850285,-1.7165492496329529,-2.4557217748209497,entropy:decrease; rmse:decrease; pct_det:decrease
2024.11.04startup_a,1956,2.3428028772299663,2.0674270415853075,6,3,0.4874924761252868,-0.9181502660189125,-0.4110666042645555,1.2105370095629115,-3.0657196151330535,-2.752152006993933,pct_det:decrease; rmse:decrease; entropy:increase
2024.11.04startup_a,2911,2.2903049377893128,2.0674270415853075,7,3,-0.26913391314156576,-0.6350215520824776,0.6097334276454454,-0.6683109552292349,-2.1203479433631034,4.0822559147756,rmse:increase; pct_det:decrease; entropy:decrease
2024.11.04startup_a,4226,2.202330018708127,2.0674270415853075,8,3,0.34122666038532523,-0.43470451528745,0.643476848812602,0.847331028222539,-1.451485893569616,4.308173134332225,rmse:increase; pct_det:decrease; entropy:increase
2024.11.04startup_a,2760,2.168661774411168,2.0674270415853075,9,3,0.797788726812648,0.6497990460493952,-0.3517820572841923,1.9810619177034943,2.1696902512549543,-2.3552331542750546,rmse:decrease; pct_det:increase; entropy:increase
2024.11.04startup_b,3250,2.507312341555615,2.0691323907873214,1,3,-0.28921804876157275,1.515796718081134,-0.25782565464600504,-0.9560365027312537,4.926813128713535,-1.6390873932220562,pct_det:increase; rmse:decrease; entropy:decrease
2024.11.04startup_b,610,2.479928728665426,2.0691323907873214,2,3,0.05643727625929462,1.152929704394495,-0.5514635618175235,0.18655853757970092,3.7473819123222123,-3.505845736094364,pct_det:increase; rmse:decrease; entropy:increase
2024.11.04startup_b,3379,2.4784966080337973,2.0691323907873214,3,3,-0.5576023853978372,0.7751663620073828,-0.4833385877640556,-1.8432052796602032,2.5195329714856016,-3.0727515729555868,rmse:decrease; pct_det:increase; entropy:decrease
